Structure,k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN
7,0.001826723,0.003342665,0.002714156,2.131848823,0.278840974,0.117097645,0.851954202,0.250990861,2.307497257,0.03471369,1.451019116,0.531579389,1.379382748,0.00032435,4.124394381,0.000651453,5.34E-05,0.153269355,0.00109369,6.19E-09,0.12775575,0.005031412,5.31E-03,0.973311965,0.026372755,3.935293244,0,8.704374062,0.048343287,0.000912276,0.000990092,0.004904136,0.000161393,0.017688583,0.000317486,0.003713784,592.7786372,2.52E-05,0.000104444,0.017617222,0.00568633,829.1481784,15.97052722,100.5175623,363.8851307,81.22065404
7,1.58E-03,0.000109706,0.039600536,0.02521743,0.018986455,0.517688598,39.20591275,3.675624439,4.305270349,0.012131575,40.4704436,0.005380271,0.006064003,0.007978761,0.292583839,0.00410688,0.000626138,3.803844688,0.083612195,8.58E-09,0.058785981,0.006291758,0.003042741,0.005987906,0.000531769,0.150797133,0,1837.875825,8.57E-05,0.002711761,0.00378879,0.001495011,2.84E-03,1.78E-04,0.000180495,0.634367648,6.028915302,8.98E-05,8.27E-06,0.000767466,0.000601985,153.0519008,15.60116307,1610.719455,2132.26335,1202.757208
7,4.13E-05,0.001703806,0.016480781,0.012458141,0.445550304,0.327461318,0.021840887,2.350539692,6.515210343,8.81E-05,0.080119135,0.331374097,5.961016331,8.37E-02,2.043226927,4.40E-05,0.000522667,0.010588963,0.018480045,9.75E-07,0.620009808,0.036162962,2.13E-05,0.002386058,0.004756508,0.042214498,0,257.371692,0.06897089,0.032295223,0.000910113,7.22429875,0.000115951,0.016476011,2.39E-02,0.032388187,6.652574919,2.05E-05,7.45E-06,0.000618115,0.448036192,33417.50512,73.22520143,51.21651781,1433.295838,184.1373559
7,5.07E-05,0.000240456,0.474410185,0.802830106,0.019524024,0.00154415,0.057940527,0.010958127,3.198727206,0.000610822,0.026024045,0.325493,0.221145889,2.41E-05,0.033886293,0.002543669,0.000220087,0.004070192,0.049956682,1.71E-05,1.147738526,0.019709842,1.72E-02,0.685284323,0.032774411,1.580617927,0,26.63186237,0.000166591,0.00028958,0.288254048,4.580618703,0.004342736,5.57E-05,3.85E-05,0.058051035,14082.44122,0.066381744,8.89E-06,0.150904835,0.003525967,2486.603035,704.916851,1.122039935,10.93616199,127.7068932
7,0.00016464,0.00183015,0.009879712,14.97513926,2.05E-01,0.038155734,0.598197923,0.167997329,19.67959837,0.00012695,0.639535742,0.40818605,4.50466982,0.003498867,2.978177879,0.047775313,0.002832382,0.072767422,0.046580438,1.75E-07,4.909114427,0.002378005,0.053926467,1.711782814,0.008481398,0.125236885,0,19.79765656,0.011042731,0.000137554,0.067596484,0.236686769,1.29E-03,0.000363889,6.56E-06,0.186323477,5788.710116,0.000246562,2.51E-05,0.06261993,0.01605885,74.33023069,87.71368367,9584.40241,0.932426085,1.25267366
7,0.005494535,0.0079122,3.959099153,0.00211491,0.355704816,0.357922314,7.521469863,15.0293927,14.51703359,0.00315334,0.053335334,0.023210066,0.340665739,0.014168187,1.626798996,0.010933833,0.003524075,0.02152577,0.067078307,4.55E-08,0.864496545,9.04E-05,0.014163693,11.29063413,0.00132308,4.100621936,0,786.0751832,0.0018619,0.000955816,0.162310363,0.01121786,4.32E-05,2.47E-04,2.78E-02,0.006778032,5374.559583,2.78E-05,1.51E-05,0.05621517,0.113293152,35.17171741,0.162127086,14.62531358,0.709104959,74.95247292
7,4.36E-05,0.004471963,0.598872746,0.262310394,0.353099028,0.00070522,0.011738882,0.125732966,59.74933999,0.000104023,10.12649358,1.636991856,0.043285968,7.95E-04,5.396425486,0.000273238,1.14E-05,0.45517136,3.97E-05,3.23E-08,0.003874786,1.02E-01,0.055173635,0.012951491,0.075328061,0.000935082,0,19956.62416,5.00E-05,0.000116874,0.4042425,4.437064829,0.007478341,2.75E-05,3.43E-05,0.250140452,24.90225996,0.000190625,6.16E-06,0.384512418,0.005624092,586.8800719,11.11805148,2.595511,64.6051238,388.401697
7,0.002059568,0.000400507,0.030036634,0.004106801,0.078205385,0.019496602,0.021436458,14.83791266,4.832161307,0.311254824,0.047682654,0.702747297,0.00132808,1.61E-05,0.007827579,0.048735873,0.005635385,3.782465357,0.040635205,1.03E-05,0.028992886,7.29E-05,0.000549566,0.015229297,0.003822355,0.026696878,0,459.0280941,0.033335916,0.000487449,0.018706532,0.135115251,0.001529662,7.06E-06,4.65E-05,0.4909583,38838.94036,0.000750508,1.23E-05,0.007582024,0.303002498,28799.5211,0.360924075,52.88236241,20.59323951,2047.394435
7,0.001154682,0.000582672,0.002415825,5.738932704,0.002315603,0.170947037,49.02511595,0.205454962,9.172275101,0.007813051,21.2371847,0.724552279,1.27090536,0.011262389,4.30282021,9.58E-05,0.002205918,2.885912268,0.171706851,5.44E-06,0.134290222,0.000124111,0.00019687,2.069104769,3.07E-04,0.010031332,0,180.7937366,0.042056635,0.000145848,0.207646789,1.780480353,1.94E-02,0.002619866,0.004037659,0.108562074,117.1110864,0.009659061,3.48E-04,0.065174583,0.001349995,373.3437702,166.4810306,2926.293742,7.087292416,1826.483167
7,1.44E-05,0.001863644,0.03510687,0.003834175,0.004490989,0.051708569,0.288091679,18.32381366,12.775767,0.001344832,0.041823593,0.091744279,2.53432642,0.00016684,0.010841707,0.00716985,0.009739418,0.091487266,0.125016649,2.90E-07,0.007934077,1.72E-02,0.012460674,0.742146674,0.009903475,0.001160834,0,1194.200508,0.001926168,0.000546477,0.153912927,0.045581973,0.000925136,7.44E-05,9.84E-03,0.177619392,123.0824568,1.75E-04,5.02E-06,0.009925162,0.012886672,1790.37713,1.293043266,1.869241957,13.27264842,459.1116776
